Date,Amount,Sender,Receiver
2024-10-03,507.82,620,505
2024-12-02,558.6,505,317
2024-02-26,614.46,317,584
2024-04-15,553.01,584,390
2024-12-30,608.31,390,620
2024-11-21,272.64,96,41
2024-06-30,299.9,41,969
2024-01-04,269.91,969,761
2024-01-23,296.9,761,634
2024-04-28,326.59,634,96
2024-11-18,383.77,851,937
2024-03-30,422.15,937,421
2024-08-15,464.37,421,928
2024-11-13,417.93,928,769
2024-11-04,376.14,769,851
2024-08-07,439.25,758,922
2024-06-01,395.32,922,680
2024-05-28,355.79,680,976
2024-12-10,320.21,976,224
2024-05-02,288.19,224,758
2024-02-17,236.35,655,616
2024-12-24,259.99,616,117
2024-04-29,285.99,117,912
2024-08-03,257.39,912,336
2024-12-24,283.13,336,655
2024-11-30,471.27,55,708
2024-05-29,424.14,708,809
2024-03-27,381.73,809,820
2024-04-09,343.56,820,774
2024-01-05,309.2,774,55
2024-12-10,840.65,580,125
2024-08-01,756.59,125,853
2024-11-18,832.25,853,350
2024-04-27,915.48,350,944
2024-05-27,1007.03,944,580
2024-06-07,753.54,387,834
2024-10-12,678.19,834,762
2024-02-26,746.01,762,332
2024-07-17,671.41,332,473
2024-03-22,738.55,473,387
2024-05-10,674.6,468,687
2024-01-16,607.14,687,253
2024-03-07,546.43,253,632
2024-06-02,491.79,632,651
2024-03-15,540.97,651,468
2024-02-07,152.41,234,814
2024-06-24,137.17,814,526
2024-12-10,123.45,526,786
2024-11-30,111.11,786,377
2024-09-08,122.22,377,234
2024-06-24,418.69,226,257
2024-01-11,460.56,257,536
2024-08-15,506.62,536,399
2024-04-22,557.28,399,737
2024-08-25,501.55,737,226
2024-10-18,278.69,5,707
2024-12-05,250.82,707,745
2024-09-28,275.9,745,354
2024-05-27,248.31,354,415
2024-07-26,223.48,415,5
2024-04-30,558.95,614,101
2024-10-23,614.85,101,815
2024-06-18,676.34,815,626
2024-11-21,743.97,626,267
2024-11-25,669.57,267,614
2024-10-15,114.15,152,625
2024-07-07,102.74,625,938
