transaction_id,transaction_date,transaction_amount,sender_account,beneficiary_account
1,2024-07-19,529.23,218,111
2,2024-07-19,476.31,111,276
3,2024-02-25,428.68,276,209
4,2024-05-09,471.55,209,310
5,2024-05-13,518.71,310,218
6,2024-01-25,286.54,45,616
7,2024-10-27,315.19,616,718
8,2024-05-19,346.71,718,592
9,2024-05-09,312.04,592,702
10,2024-12-29,280.84,702,45
11,2024-10-20,253.7,902,167
12,2024-03-27,228.33,167,992
13,2024-01-22,205.5,992,407
14,2024-10-12,226.05,407,301
15,2024-08-14,248.66,301,902
16,2024-09-21,752.01,63,629
17,2024-08-21,676.81,629,688
18,2024-02-02,744.49,688,291
19,2024-06-29,670.04,291,510
20,2024-12-13,737.04,510,63
21,2024-10-02,326.7,793,322
22,2024-09-09,294.03,322,77
23,2024-04-03,323.43,77,675
24,2024-07-17,291.09,675,918
25,2024-06-12,320.2,918,793
26,2024-05-23,843.17,354,654
27,2024-07-30,758.85,654,199
28,2024-07-26,682.97,199,521
29,2024-06-15,751.27,521,175
30,2024-09-25,676.14,175,354
31,2024-01-08,151.21,910,301
32,2024-02-25,166.33,301,317
33,2024-06-07,182.96,317,656
34,2024-02-10,201.26,656,993
35,2024-10-21,221.39,993,910
36,2024-11-26,125.9,340,446
37,2024-12-23,113.31,446,817
38,2024-11-15,124.64,817,244
39,2024-02-06,112.18,244,905
40,2024-09-11,100.96,905,340
41,2024-08-19,472.42,405,550
42,2024-08-13,519.66,550,119
43,2024-01-30,571.63,119,94
44,2024-11-11,628.79,94,368
45,2024-07-02,691.67,368,405
46,2024-01-18,832.35,774,584
47,2024-03-27,749.12,584,289
48,2024-06-16,674.21,289,854
49,2024-10-24,741.63,854,859
50,2024-08-07,815.79,859,774
51,2024-08-12,842.09,688,6
52,2024-10-11,926.3,6,719
53,2024-05-09,833.67,719,782
54,2024-08-23,917.04,782,723
55,2024-09-18,1008.74,723,688
56,2024-05-05,1058.82,178,786
57,2024-02-27,952.94,786,423
58,2024-03-05,1048.23,423,803
59,2024-05-14,1153.05,803,80
60,2024-02-20,1037.74,80,178
