transaction_id,transaction_date,transaction_amount,sender_account,beneficiary_account
1,2024-10-03,507.82,620,505
2,2024-12-02,558.6,505,317
3,2024-02-26,614.46,317,584
4,2024-04-15,553.01,584,390
5,2024-12-30,608.31,390,620
6,2024-11-21,272.64,96,41
7,2024-06-30,299.9,41,969
8,2024-01-04,269.91,969,761
9,2024-01-23,296.9,761,634
10,2024-04-28,326.59,634,96
11,2024-11-18,383.77,851,937
12,2024-03-30,422.15,937,421
13,2024-08-15,464.37,421,928
14,2024-11-13,417.93,928,769
15,2024-11-04,376.14,769,851
16,2024-08-07,439.25,758,922
17,2024-06-01,395.32,922,680
18,2024-05-28,355.79,680,976
19,2024-12-10,320.21,976,224
20,2024-05-02,288.19,224,758
21,2024-02-17,236.35,655,616
22,2024-12-24,259.99,616,117
23,2024-04-29,285.99,117,912
24,2024-08-03,257.39,912,336
25,2024-12-24,283.13,336,655
26,2024-11-30,471.27,55,708
27,2024-05-29,424.14,708,809
28,2024-03-27,381.73,809,820
29,2024-04-09,343.56,820,774
30,2024-01-05,309.2,774,55
31,2024-12-10,840.65,580,125
32,2024-08-01,756.59,125,853
33,2024-11-18,832.25,853,350
34,2024-04-27,915.48,350,944
35,2024-05-27,1007.03,944,580
36,2024-06-07,753.54,387,834
37,2024-10-12,678.19,834,762
38,2024-02-26,746.01,762,332
39,2024-07-17,671.41,332,473
40,2024-03-22,738.55,473,387
41,2024-05-10,674.6,468,687
42,2024-01-16,607.14,687,253
43,2024-03-07,546.43,253,632
44,2024-06-02,491.79,632,651
45,2024-03-15,540.97,651,468
46,2024-02-07,152.41,234,814
47,2024-06-24,137.17,814,526
48,2024-12-10,123.45,526,786
49,2024-11-30,111.11,786,377
50,2024-09-08,122.22,377,234
51,2024-06-24,418.69,226,257
52,2024-01-11,460.56,257,536
53,2024-08-15,506.62,536,399
54,2024-04-22,557.28,399,737
55,2024-08-25,501.55,737,226
56,2024-10-18,278.69,5,707
57,2024-12-05,250.82,707,745
58,2024-09-28,275.9,745,354
59,2024-05-27,248.31,354,415
60,2024-07-26,223.48,415,5
61,2024-04-30,558.95,614,101
62,2024-10-23,614.85,101,815
63,2024-06-18,676.34,815,626
64,2024-11-21,743.97,626,267
65,2024-11-25,669.57,267,614
66,2024-10-15,114.15,152,625
67,2024-07-07,102.74,625,938
68,2024-09-02,113.01,938,559
69,2024-03-14,101.71,559,788
70,2024-06-06,111.88,788,152
71,2024-04-13,344.84,123,130
72,2024-07-24,310.36,130,722
73,2024-08-12,279.32,722,741
74,2024-02-17,251.39,741,708
75,2024-09-11,276.53,708,123
76,2024-05-02,952.13,640,754
77,2024-12-08,1047.34,754,221
78,2024-06-07,942.61,221,72
79,2024-12-21,848.35,72,219
80,2024-05-10,763.51,219,640
81,2024-03-30,764.1,787,714
82,2024-02-17,840.51,714,393
83,2024-02-04,756.46,393,184
84,2024-06-04,832.11,184,607
85,2024-08-31,915.32,607,787
86,2024-12-03,262.15,493,124
87,2024-08-26,288.37,124,468
88,2024-07-09,317.21,468,580
89,2024-07-15,285.49,580,679
90,2024-04-25,256.94,679,493
91,2024-06-01,210.46,430,970
92,2024-05-25,231.51,970,965
93,2024-07-30,254.66,965,325
94,2024-06-29,229.19,325,433
95,2024-09-18,252.11,433,430
96,2024-12-16,30.94,361,314
97,2024-01-26,27.85,314,823
98,2024-05-03,25.07,823,515
99,2024-04-14,22.56,515,266
100,2024-10-11,20.3,266,361
101,2024-11-17,773.12,833,575
102,2024-12-17,695.81,575,157
103,2024-05-31,626.23,157,153
104,2024-03-30,688.85,153,848
105,2024-12-28,757.74,848,833
106,2024-11-09,349.76,37,573
107,2024-06-20,384.74,573,318
108,2024-12-31,423.21,318,902
109,2024-09-29,465.53,902,192
110,2024-03-03,418.98,192,37
111,2024-03-30,22.63,758,67
112,2024-10-24,20.37,67,212
113,2024-10-05,22.41,212,580
114,2024-01-18,20.17,580,299
115,2024-02-19,22.19,299,758
116,2024-09-16,449.82,458,37
117,2024-04-09,404.84,37,10
118,2024-08-16,364.36,10,936
119,2024-10-15,400.8,936,222
120,2024-10-23,440.88,222,458
121,2024-05-05,732.98,172,967
122,2024-05-01,806.28,967,860
123,2024-04-14,886.91,860,951
124,2024-12-18,798.22,951,293
125,2024-07-25,718.4,293,172
126,2024-07-10,622.72,935,5
127,2024-12-03,560.45,5,489
128,2024-12-01,616.5,489,837
129,2024-05-28,554.85,837,740
130,2024-10-13,499.37,740,935
131,2024-03-02,903.64,561,851
132,2024-11-06,994.0,851,753
133,2024-07-29,894.6,753,292
134,2024-12-10,984.06,292,991
135,2024-10-12,1082.47,991,561
136,2024-02-14,146.12,85,797
137,2024-04-25,131.51,797,182
138,2024-08-25,118.36,182,678
139,2024-07-31,106.52,678,792
140,2024-08-14,95.87,792,85
141,2024-02-14,89.01,137,218
142,2024-12-09,97.91,218,158
143,2024-03-18,88.12,158,630
144,2024-02-23,79.31,630,604
145,2024-05-24,87.24,604,137
146,2024-08-29,800.71,772,856
147,2024-07-14,720.64,856,610
148,2024-03-29,648.58,610,450
149,2024-11-18,583.72,450,799
150,2024-11-06,525.35,799,772
151,2024-12-30,999.05,723,26
152,2024-06-02,1098.95,26,397
153,2024-12-30,989.06,397,178
154,2024-10-13,890.15,178,805
155,2024-10-18,801.13,805,723
156,2024-05-30,234.28,178,599
157,2024-10-06,210.85,599,946
158,2024-06-15,189.76,946,840
159,2024-06-06,170.78,840,270
160,2024-12-01,187.86,270,178
161,2024-02-04,389.66,427,891
162,2024-01-27,350.69,891,219
163,2024-02-04,315.62,219,5
164,2024-03-03,347.18,5,445
165,2024-09-15,381.9,445,427
166,2024-05-25,569.43,579,631
167,2024-02-24,512.49,631,586
168,2024-02-24,461.24,586,813
169,2024-03-16,415.12,813,794
170,2024-01-08,456.63,794,579
171,2024-01-16,655.24,790,356
172,2024-05-20,589.72,356,30
173,2024-11-03,530.75,30,771
174,2024-07-25,477.68,771,726
175,2024-11-13,525.45,726,790
176,2024-05-04,837.02,852,467
177,2024-02-13,920.72,467,766
178,2024-02-28,828.65,766,882
179,2024-09-27,911.52,882,419
180,2024-06-05,820.37,419,852
181,2024-04-30,916.12,355,775
182,2024-12-15,824.51,775,658
183,2024-01-04,742.06,658,481
184,2024-04-09,667.85,481,850
185,2024-06-14,601.07,850,355
186,2024-02-19,632.45,256,593
187,2024-07-14,695.7,593,291
188,2024-10-28,765.27,291,555
189,2024-12-29,688.74,555,2
190,2024-01-25,757.61,2,256
191,2024-06-29,570.75,284,441
192,2024-03-08,513.68,441,845
193,2024-01-11,462.31,845,726
194,2024-09-08,508.54,726,972
195,2024-08-03,457.69,972,284
196,2024-09-09,913.13,538,90
197,2024-12-20,821.82,90,966
198,2024-01-23,904.0,966,769
199,2024-12-14,994.4,769,656
200,2024-11-14,1093.84,656,538
201,2024-02-04,708.26,784,328
202,2024-01-18,637.43,328,26
203,2024-02-08,573.69,26,346
204,2024-08-18,631.06,346,187
205,2024-12-24,694.17,187,784
206,2024-01-13,360.64,666,57
207,2024-02-29,324.58,57,158
208,2024-10-11,357.04,158,529
209,2024-06-15,321.34,529,248
210,2024-04-30,289.21,248,666
211,2024-04-13,114.26,122,456
212,2024-08-17,125.69,456,130
213,2024-05-27,138.26,130,108
214,2024-10-31,152.09,108,893
215,2024-09-10,167.3,893,122
216,2024-04-18,302.05,646,273
217,2024-01-03,271.85,273,959
218,2024-10-02,299.04,959,655
219,2024-05-22,269.14,655,26
220,2024-11-18,242.23,26,646
221,2024-09-24,464.09,855,186
222,2024-08-08,510.5,186,177
223,2024-06-12,561.55,177,234
224,2024-03-31,505.39,234,988
225,2024-09-12,555.93,988,855
226,2024-10-30,584.79,443,397
227,2024-10-17,643.27,397,111
228,2024-09-12,578.94,111,360
229,2024-12-21,636.83,360,710
230,2024-04-21,573.15,710,443
231,2024-11-14,374.35,38,913
232,2024-09-27,336.92,913,379
233,2024-01-04,303.23,379,128
234,2024-06-16,333.55,128,309
235,2024-05-29,300.19,309,38
236,2024-04-08,600.96,866,483
237,2024-03-07,661.06,483,63
238,2024-04-03,594.95,63,803
239,2024-05-21,535.46,803,658
240,2024-12-27,481.91,658,866
241,2024-07-17,110.25,193,522
242,2024-07-06,121.28,522,265
243,2024-10-16,133.41,265,191
244,2024-03-09,120.07,191,110
245,2024-05-30,132.08,110,193
246,2024-06-11,754.78,81,388
247,2024-12-10,679.3,388,561
248,2024-03-29,611.37,561,692
249,2024-05-08,550.23,692,801
250,2024-03-23,605.25,801,81
251,2024-11-10,316.22,107,36
252,2024-04-12,347.84,36,71
253,2024-01-25,382.62,71,570
254,2024-02-20,420.88,570,509
255,2024-10-26,378.79,509,107
256,2024-12-09,733.13,610,820
257,2024-08-27,659.82,820,645
258,2024-01-28,593.84,645,238
259,2024-09-30,534.46,238,908
260,2024-03-23,587.91,908,610
261,2024-04-12,205.88,205,976
262,2024-04-17,185.29,976,192
263,2024-02-15,166.76,192,698
264,2024-08-24,183.44,698,525
265,2024-11-08,165.1,525,205
266,2024-07-30,515.9,725,569
267,2024-05-31,464.31,569,51
268,2024-03-30,417.88,51,726
269,2024-03-20,459.67,726,435
270,2024-01-16,505.64,435,725
271,2024-01-01,253.63,785,741
272,2024-08-23,228.27,741,254
273,2024-01-18,251.1,254,569
274,2024-08-01,276.21,569,373
275,2024-10-19,303.83,373,785
276,2024-10-21,89.88,914,45
277,2024-11-01,80.89,45,951
278,2024-11-07,88.98,951,693
279,2024-01-26,97.88,693,448
280,2024-12-10,88.09,448,914
281,2024-02-24,891.78,3,497
