transaction_id,transaction_date,transaction_amount,sender_account,beneficiary_account
1,2024-10-26,697.78,Account_319,Account_633
2,2024-07-25,390.88,Account_598,Account_185
3,2024-02-27,722.15,Account_357,Account_220
4,2024-11-27,617.29,Account_981,Account_758
5,2024-08-20,243.0,Account_852,Account_468
6,2024-06-04,572.25,Account_222,Account_985
7,2024-03-20,697.53,Account_782,Account_438
8,2024-03-18,500.36,Account_280,Account_519
9,2024-10-13,204.12,Account_952,Account_941
10,2024-07-11,847.34,Account_843,Account_358
11,2024-05-04,970.05,Account_879,Account_338
12,2024-09-02,161.9,Account_856,Account_637
13,2024-08-20,394.14,Account_675,Account_832
14,2024-02-10,268.17,Account_680,Account_95
15,2024-10-22,249.01,Account_948,Account_982
16,2024-09-03,133.12,Account_206,Account_811
17,2024-01-18,396.61,Account_940,Account_624
18,2024-10-13,371.64,Account_441,Account_7
19,2024-04-27,482.91,Account_657,Account_104
20,2024-03-05,467.88,Account_845,Account_328
21,2024-07-17,719.93,Account_122,Account_902
22,2024-12-23,34.25,Account_140,Account_348
23,2024-04-06,561.72,Account_831,Account_602
24,2024-05-14,377.28,Account_957,Account_898
25,2024-10-30,406.64,Account_403,Account_310
26,2024-01-08,600.01,Account_548,Account_711
27,2024-11-17,303.01,Account_105,Account_962
28,2024-01-03,367.01,Account_662,Account_336
29,2024-05-01,238.47,Account_868,Account_895
30,2024-12-22,141.0,Account_257,Account_678
31,2024-07-21,727.06,Account_861,Account_102
32,2024-03-18,749.89,Account_408,Account_977
33,2024-11-28,134.88,Account_371,Account_330
34,2024-03-29,33.62,Account_57,Account_338
35,2024-12-07,17.02,Account_399,Account_55
36,2024-02-26,958.84,Account_83,Account_803
37,2024-02-12,752.35,Account_684,Account_790
38,2024-07-31,429.89,Account_838,Account_335
39,2024-04-08,589.57,Account_73,Account_867
40,2024-11-15,789.9,Account_576,Account_265
41,2024-02-14,91.08,Account_642,Account_527
42,2024-12-10,11.2,Account_876,Account_237
43,2024-12-01,516.87,Account_758,Account_570
44,2024-06-04,535.55,Account_783,Account_198
45,2024-10-20,381.71,Account_682,Account_995
46,2024-12-17,766.52,Account_640,Account_53
47,2024-10-14,914.07,Account_973,Account_912
48,2024-04-10,483.29,Account_874,Account_415
49,2024-02-01,225.87,Account_691,Account_955
50,2024-03-04,269.78,Account_271,Account_682
51,2024-08-26,890.08,Account_506,Account_693
52,2024-07-30,252.56,Account_972,Account_644
53,2024-06-11,939.3,Account_877,Account_923
54,2024-03-11,79.51,Account_743,Account_430
55,2024-09-28,774.38,Account_130,Account_74
56,2024-01-11,880.0,Account_561,Account_140
57,2024-09-26,753.15,Account_421,Account_219
58,2024-03-03,823.73,Account_745,Account_408
59,2024-11-18,72.5,Account_493,Account_394
60,2024-01-15,720.61,Account_643,Account_999
61,2024-02-29,419.33,Account_160,Account_195
62,2024-05-02,442.0,Account_707,Account_643
63,2024-11-16,197.38,Account_434,Account_519
64,2024-08-24,75.46,Account_625,Account_606
65,2024-05-04,24.8,Account_445,Account_281
66,2024-12-07,783.74,Account_151,Account_231
67,2024-04-26,575.85,Account_70,Account_731
68,2024-03-12,977.74,Account_675,Account_184
69,2024-11-21,538.32,Account_808,Account_922
70,2024-02-22,806.99,Account_825,Account_412
71,2024-05-03,889.18,Account_180,Account_390
72,2024-11-15,267.44,Account_473,Account_598
73,2024-03-25,847.2,Account_582,Account_329
74,2024-11-10,319.89,Account_959,Account_191
75,2024-06-03,264.69,Account_425,Account_780
76,2024-05-07,285.64,Account_701,Account_533
77,2024-08-07,749.52,Account_821,Account_944
78,2024-08-10,732.35,Account_786,Account_721
79,2024-02-29,873.39,Account_520,Account_116
80,2024-04-23,785.32,Account_77,Account_317
81,2024-01-13,431.82,Account_227,Account_48
82,2024-06-13,524.54,Account_620,Account_725
83,2024-06-19,484.11,Account_576,Account_512
84,2024-12-11,354.24,Account_325,Account_720
85,2024-11-23,697.31,Account_676,Account_801
86,2024-03-26,701.61,Account_932,Account_398
87,2024-11-08,535.34,Account_799,Account_494
88,2024-10-22,923.07,Account_54,Account_176
