date,amount,sender,receiver
2024-10-26,697.78,Account_319,Account_633
2024-07-25,390.88,Account_598,Account_185
2024-02-27,722.15,Account_357,Account_220
2024-11-27,617.29,Account_981,Account_758
2024-08-20,243.0,Account_852,Account_468
2024-06-04,572.25,Account_222,Account_985
2024-03-20,697.53,Account_782,Account_438
2024-03-18,500.36,Account_280,Account_519
2024-10-13,204.12,Account_952,Account_941
2024-07-11,847.34,Account_843,Account_358
2024-05-04,970.05,Account_879,Account_338
2024-09-02,161.9,Account_856,Account_637
2024-08-20,394.14,Account_675,Account_832
2024-02-10,268.17,Account_680,Account_95
2024-10-22,249.01,Account_948,Account_982
2024-09-03,133.12,Account_206,Account_811
2024-01-18,396.61,Account_940,Account_624
2024-10-13,371.64,Account_441,Account_7
2024-04-27,482.91,Account_657,Account_104
2024-03-05,467.88,Account_845,Account_328
2024-07-17,719.93,Account_122,Account_902
2024-12-23,34.25,Account_140,Account_348
2024-04-06,561.72,Account_831,Account_602
2024-05-14,377.28,Account_957,Account_898
2024-10-30,406.64,Account_403,Account_310
2024-01-08,600.01,Account_548,Account_711
2024-11-17,303.01,Account_105,Account_962
2024-01-03,367.01,Account_662,Account_336
2024-05-01,238.47,Account_868,Account_895
2024-12-22,141.0,Account_257,Account_678
2024-07-21,727.06,Account_861,Account_102
2024-03-18,749.89,Account_408,Account_977
2024-11-28,134.88,Account_371,Account_330
2024-03-29,33.62,Account_57,Account_338
2024-12-07,17.02,Account_399,Account_55
2024-02-26,958.84,Account_83,Account_803
2024-02-12,752.35,Account_684,Account_790
2024-07-31,429.89,Account_838,Account_335
2024-04-08,589.57,Account_73,Account_867
2024-11-15,789.9,Account_576,Account_265
2024-02-14,91.08,Account_642,Account_527
2024-12-10,11.2,Account_876,Account_237
2024-12-01,516.87,Account_758,Account_570
2024-06-04,535.55,Account_783,Account_198
2024-10-20,381.71,Account_682,Account_995
2024-12-17,766.52,Account_640,Account_53
2024-10-14,914.07,Account_973,Account_912
2024-04-10,483.29,Account_874,Account_415
2024-02-01,225.87,Account_691,Account_955
2024-03-04,269.78,Account_271,Account_682
2024-08-26,890.08,Account_506,Account_693
